vuln,experiment,time
60,60,0.752365899970755
5,61,0.3495955001562834
10,61,0.371159499976784
20,61,0.40015280013903975
30,61,0.4339904000516981
40,61,0.5674070999957621
50,61,0.641847399994731
60,61,0.9126067999750376
5,62,0.2847825998906046
10,62,0.3626769999973476
20,62,0.4081933998968452
30,62,0.5588809999171644
40,62,0.5885026000905782
50,62,0.7494336001109332
60,62,0.7846633999142796
5,63,0.33486369997262955
10,63,0.3494790999684483
20,63,0.4078548999968916
30,63,0.4925914001651108
40,63,0.6254889001138508
50,63,0.6725878000725061
60,63,0.8721334000583738
5,64,0.286347100045532
10,64,0.34976529981940985
20,64,0.513188200071454
30,64,0.553402200108394
40,64,0.6341444998979568
50,64,0.6451972001232207
60,64,0.7946844999678433
5,65,0.2681549999397248
10,65,0.38763109990395606
20,65,0.47762699984014034
30,65,0.5576251000165939
40,65,0.6301799002103508
50,65,0.7106075999327004
60,65,0.907655700109899
5,66,0.3750891999807209
10,66,0.43768790015019476
20,66,0.5245567001402378
30,66,0.5139637999236584
40,66,0.589285199996084
50,66,0.6823952998965979
60,66,0.6317138001322746
5,67,0.248438699869439
10,67,0.25973990000784397
20,67,0.31309060007333755
30,67,0.4222646001726389
40,67,0.47999779996462166
50,67,0.5577291001100093
60,67,0.6266526998952031
5,68,0.23793609999120235
10,68,0.33245730004273355
20,68,0.40779419988393784
30,68,0.5197144001722336
40,68,0.6059413999319077
50,68,0.7144788999576122
60,68,0.8224492999725044
5,69,0.3444185999687761
10,69,0.45133870001882315
20,69,0.5101018999703228
30,69,0.4697779999114573
40,69,0.6979066000785679
50,69,0.6469262999016792
60,69,0.8105028998106718
5,70,0.2838785999920219
10,70,0.4061121998820454
20,70,0.5524839998688549
30,70,0.5136307999491692
40,70,0.5634305998682976
50,70,0.6273006000556052
60,70,0.7642942001111805
5,71,0.3074036999605596
10,71,0.3424384000245482
20,71,0.4694315001834184
30,71,0.5981193000916392
40,71,0.643502299906686
50,71,0.7620939000044018
60,71,0.770350500009954
5,72,0.2745833999942988
10,72,0.4070852999575436
